training_number,generation,timestamp,best_fitness,worst_fitness,avg_fitness,median_fitness,std_fitness,best_distance,avg_distance,median_distance,best_stability,avg_stability,best_energy,avg_energy,best_time_alive,avg_time_alive,absolute_best_fitness,absolute_best_distance,population_size,genome_length,mutation_rate,crossover_rate,elite_size
2,9,2025-11-02 14:27:59,3.047684669494629,0,1.6174279689788817,1.8281724452972412,0.9853329844999577,2.547684669494629,0.9896799373626709,1.3281724452972412,1.0,0.98,461,465.12,500,498.38,3.047684669494629,2.547684669494629,50,500,0.1,0.7,5
2,10,2025-11-02 14:28:30,3.047684669494629,0,1.674670057296753,1.8668804168701172,1.0091350022208998,2.547684669494629,1.0940774822235106,1.3668804168701172,1.0,1.0,461,466.76,500,500.0,3.047684669494629,2.547684669494629,50,500,0.1,0.7,5
2,11,2025-11-02 14:29:02,3.047684669494629,0,1.5127505588531494,1.7053749561309814,1.0439430514177157,2.547684669494629,0.8967203330993653,1.2053749561309814,1.0,1.0,461,465.48,500,500.0,3.047684669494629,2.547684669494629,50,500,0.1,0.7,5
2,12,2025-11-02 14:29:33,3.1103649139404297,0,1.5361199378967285,1.7684094905853271,1.1040064091998671,2.6103649139404297,0.9177458000183105,1.2684094905853271,1.0,1.0,463,465.34,500,500.0,3.047684669494629,2.547684669494629,50,500,0.1,0.7,5
2,13,2025-11-02 14:30:03,3.142801284790039,0,1.5525783348083495,2.0028319358825684,1.1821539305093907,2.642801284790039,0.9603827095031738,1.5028319358825684,1.0,1.0,466,466.06,500,500.0,3.1103649139404297,2.6103649139404297,50,500,0.1,0.7,5
2,14,2025-11-02 14:30:34,3.142801284790039,0,1.8377799320220947,2.322016954421997,1.0010538973694034,2.642801284790039,1.2409131050109863,1.822016954421997,1.0,0.98,466,462.06,500,496.92,3.142801284790039,2.642801284790039,50,500,0.1,0.7,5
2,15,2025-11-02 14:31:06,3.142801284790039,0,1.5582635593414307,1.923995018005371,1.1441989434296191,2.642801284790039,0.9437615966796875,1.423995018005371,1.0,1.0,466,465.16,500,500.0,3.142801284790039,2.642801284790039,50,500,0.1,0.7,5
2,16,2025-11-02 14:31:37,3.1750621795654297,0,1.7811821937561034,2.1212124824523926,1.0738457877335459,2.6750621795654297,1.2200547504425048,1.6212124824523926,1.0,1.0,463,464.72,500,500.0,3.142801284790039,2.642801284790039,50,500,0.1,0.7,5
2,17,2025-11-02 14:32:07,3.1875905990600586,0,1.6749439239501953,2.195570945739746,1.1399753289459496,2.6875905990600586,0.9998937559127807,1.695570945739746,1.0,0.98,462,460.52,500,494.48,3.1750621795654297,2.6750621795654297,50,500,0.1,0.7,5
2,18,2025-11-02 14:32:39,3.4205942153930664,0,2.041649122238159,2.563948154449463,1.1446182767662794,2.9205942153930664,1.4541492795944213,2.063948154449463,1.0,0.98,468,464.82,500,499.44,3.1875905990600586,2.6875905990600586,50,500,0.1,0.7,5
