training_number,total_generations,start_date,end_date,first_fitness,final_fitness,best_fitness_ever,best_distance_ever,avg_fitness_improvement,avg_stability,avg_energy
1,1,2025-11-02 13:52:29,2025-11-02 13:52:29,255.1,255.1,0.0,0.0,,1.0,461.82
2,29,2025-11-02 14:23:21,2025-11-02 14:37:52,1.7535052299499512,3.7058610916137695,3.7058610916137695,3.205861091613769,0.06972699505942208,0.9958620689655172,464.97172413793106
