training_number,total_generations,start_date,end_date,total_duration_seconds,avg_generation_duration_seconds,first_best_fitness,final_best_fitness,best_fitness_ever,best_distance_ever,avg_fitness,avg_distance,avg_stability,avg_energy,final_time_limit
13,100,2025-11-04 11:50:09,2025-11-04 11:51:57,108.257712,1.08257712,474.2529006958008,747.8250045776367,747.8250045776367,3.958250045776367,477.86299868011474,1.3914899868011474,0.9874000000000003,464.717,697
14,100,2025-11-04 11:51:58,2025-11-04 11:53:49,110.305361,1.1030536100000001,406.0276817321777,713.4159683227539,715.6646865844726,3.687646865844727,501.0080831333923,1.6516440313339231,0.9992,470.0712,684
15,100,2025-11-04 11:53:50,2025-11-04 11:55:40,109.673349,1.09673349,459.9535545349121,732.4181900024414,745.6891059875488,3.831891059875488,466.0526210493088,1.330007210493088,0.9888000000000001,466.009,691
16,100,2025-11-04 11:55:41,2025-11-04 11:57:34,112.608916,1.12608916,446.9183712005615,791.3482719421387,791.3482719421387,4.307482719421387,507.01619351932527,1.6856447351932529,0.9870000000000002,465.3678,715
17,100,2025-11-04 11:57:35,2025-11-04 11:59:27,111.90455800000001,1.11904558,473.2102256774903,708.8377532958984,708.8377532958984,3.659709930419922,452.8296800972367,1.2022504009723665,0.9836000000000001,471.0656000000001,682
18,100,2025-11-04 11:59:28,2025-11-04 12:01:21,112.11739799999998,1.1211739799999998,405.4632049560547,701.1632667541504,712.8168960571289,3.5690135955810547,445.0993648062133,1.1895382480621337,0.9854000000000002,472.62859999999995,677
19,100,2025-11-04 12:01:22,2025-11-04 12:03:15,112.312342,1.12312342,459.9549301147461,711.962678527832,711.962678527832,3.669351577758789,460.42297529487615,1.254126752948761,0.9826,466.9420000000001,683
20,100,2025-11-04 12:03:16,2025-11-04 12:05:15,118.425452,1.18425452,429.1606216430664,765.3389221191406,765.3389221191406,4.099797248840332,501.8041929859924,1.6526821298599241,0.9936000000000001,466.6621999999999,704
21,100,2025-11-04 12:05:16,2025-11-04 12:07:10,114.212046,1.1421204600000001,424.53902473449705,706.1761436462402,706.1761436462402,3.6267614364624015,440.27477473796847,1.1738713473796845,0.9696000000000001,465.11660000000006,681
22,100,2025-11-04 12:07:11,2025-11-04 12:09:13,120.89634899999999,1.20896349,399.4858531951904,751.3032341003418,751.3032341003418,3.994105339050293,507.15883529376987,1.7134683529376986,0.978,464.068,699
23,100,2025-11-04 12:09:14,2025-11-04 12:11:15,120.926076,1.20926076,408.1576065063476,772.5952423095703,772.5952423095703,4.172906875610352,474.15578827281956,1.3895382827281955,0.9857999999999998,471.04540000000003,708
